"DE_50hertz_wind_generation","DE_50hertz_wind_generation_forecast","date"
5964.625,5423.25,"2009-11-24"
5208.41666666667,4454.54166666667,"2009-11-25"
5410.83333333333,4871.33333333333,"2009-11-26"
5574.29166666667,5037.04166666667,"2009-11-27"
4980.20833333333,4592.58333333333,"2009-11-28"
3929.54166666667,3253.83333333333,"2009-11-29"
833.958333333333,966.208333333333,"2009-11-30"
1121.16666666667,2267.91666666667,"2009-12-01"
891.083333333333,936.291666666667,"2009-12-02"
2369.66666666667,2581.5,"2009-12-03"
687.041666666667,486.625,"2009-12-04"
2263.70833333333,1621.66666666667,"2009-12-05"
2261.5,1885.70833333333,"2009-12-06"
1497.41666666667,1626.5,"2009-12-07"
1339.54166666667,1373.79166666667,"2009-12-08"
562.208333333333,292.208333333333,"2009-12-09"
1747.625,812.666666666667,"2009-12-10"
1407,1395.79166666667,"2009-12-11"
484.25,658.083333333333,"2009-12-12"
432.208333333333,308.875,"2009-12-13"
65.2083333333333,183.583333333333,"2009-12-14"
145.666666666667,209.75,"2009-12-15"
291.833333333333,230.583333333333,"2009-12-16"
501.75,526.916666666667,"2009-12-17"
882.708333333333,867.666666666667,"2009-12-18"
214.416666666667,192,"2009-12-19"
1821.875,1398.41666666667,"2009-12-20"
2647.625,2672.625,"2009-12-21"
3392.54166666667,2711,"2009-12-22"
689.541666666667,1410.16666666667,"2009-12-23"
1328.375,996.666666666667,"2009-12-24"
5284.875,4456.33333333333,"2009-12-25"
5721.33333333333,5423.58333333333,"2009-12-26"
2757.70833333333,2465.5,"2009-12-27"
2951.125,2181.54166666667,"2009-12-28"
777.833333333333,1213.29166666667,"2009-12-29"
1329.58333333333,1963.875,"2009-12-30"
1220.375,1714.79166666667,"2009-12-31"
612,1282.95833333333,"2010-01-01"
450.458333333333,783.833333333333,"2010-01-02"
156.791666666667,345.958333333333,"2010-01-03"
990.208333333333,848.458333333333,"2010-01-04"
642.833333333333,1079.54166666667,"2010-01-05"
118.75,235.875,"2010-01-06"
187.125,301.708333333333,"2010-01-07"
1317.41666666667,2064.95833333333,"2010-01-08"
5370.5,6381.625,"2010-01-09"
2567.08333333333,3154.375,"2010-01-10"
293.041666666667,680.333333333333,"2010-01-11"
436.208333333333,359,"2010-01-12"
2296.70833333333,2166.66666666667,"2010-01-13"
1356.79166666667,1431.66666666667,"2010-01-14"
496.875,635.5,"2010-01-15"
2546.79166666667,2083.70833333333,"2010-01-16"
2312.20833333333,2300.66666666667,"2010-01-17"
862.041666666667,925.791666666667,"2010-01-18"
373.833333333333,349.208333333333,"2010-01-19"
899.083333333333,1040.91666666667,"2010-01-20"
313.125,476.083333333333,"2010-01-21"
728.375,815.291666666667,"2010-01-22"
1181.29166666667,1091.125,"2010-01-23"
1939.29166666667,2099.08333333333,"2010-01-24"
1237.20833333333,1346.91666666667,"2010-01-25"
287.208333333333,254.625,"2010-01-26"
3550.29166666667,2810.29166666667,"2010-01-27"
6366.58333333333,5947.20833333333,"2010-01-28"
